summary,reference_title,generated_title
معاون وزیر کار، تعاون و رفاه اجتماعی گفت: تاکنون ۲۳ هزار و ۶۶۷ میلیارد ریال تحت عنوان تسهیلات کرونا از سوی بانکهای عامل به مشمولان پرداخت‌شده است.,پرداخت بیش از دو هزار میلیارد تومان تسهیلات ویژه کرونا,پرداخت ۲۳ تریلیون ریال کمک کرونایی از بانک‌ها به کارگران انجام شده است.
قم-عضنفری، معاون استاندار قم، ذخیره کالاهای اساسی مورد نیاز در استان قم را مطلوب دانست و گفت: برای ماه‌های آینده هم کالاهای اساسی پرمصرف مردم ذخیره‌سازی شده است.,ذخیره کالاهای اساسی برای چند ماه آینده در قم؛ توزیع روزانه ۸۰ تن مرغ,ذخایر کالای اساسی در قم مطلوب است / ذخیرة کالای گندم و برنج در قم ۱ میلیون و ۸۰۰ هزار تن است.
معاون مدیرعامل شرکت ملی صنایع پتروشیمی با اشاره به درگیریهای صورت گرفته در منطقه و همینطور تنشهای موجود، ایران را امن‌ترین منطقه برای سرمایه گذاری در صنعت پتروشیمی دانست و از حضور سرمایه گذاران در این صنعت استقبال کرد.,ایران امن‌ترین منطقه برای سرمایه گذاری در صنعت پتروشیمی است,ایران امن‌ترین کشور برای سرمایه‌گذاری در صنعت نفت و گاز است / حضور سرمایه‌گذاران را تشویق می‌کنیم.
معاون مسکن شهری بنیاد مسکن انقلاب اسلامی درباره طرح اقدام ملی رونق تولید مسکن گفت: متقاضیان دریافت مسکن در شهرهای کمتر از ۱۰۰ هزار نفر می‌توانند از شهریور در سامانه طرح ملی مسکن ثبت‌نام کنند.,ثبت‌نام طرح ملی مسکن از شهریورماه آغاز می‌شود,ثبت نام در طرح مسکن برای شهرک‌های کمتر از یکصد هزار نفری آغاز می‌شود / شهریور ماه ثبت نام آغاز می شود.
منصوریان، نماینده سازمان بنادر و دریانوردی در سازمان بین‌المللی دریانوردی (آیمو) جزییات هفتاد و پنجمین اجلاس کمیته حفظ محیط‌زیست دریایی (MEPC ۷۵) را تشریح کرد.,تشریح جزییات مواضع ایران در اجلاس محیط‌زیست دریایی,جزئیات ۷۰ و ۷۱ اجلاسیه کمیته MEPC در سازمان آیمو اعلام شد / گنجانده شدن ایران در لیست کشورها برای پیوستن به پروتکل کپنهاگ / تصویب قطعنامه‌ای برای کاهش انتشار گازهای گلخانه‌ای در حمل‌ونقل دریایی / اظهار تمایل ایران برای عضویت در کنوانسیون بین‌المللی حفاظت از حیات وحش دریایی
تهران ایرنا-محمد جواد ظریف وزیر امور خارجه جمهوری اسلامی ایران روز شنبه در پیامی توئیتری نوشت که با وانگ یی همتای چینی خود، مذاکرات سودمندی در شهر تنگ چونگ در باره برنامه جامع همکاری راهبردی دو کشور داشته است.,ظریف مذاکرات با چین در باره همکاری راهبردی را سودمند خواند,ظریف: مذاکره با چین در تانگ چونگ سودمند بود / دو طرف به توافق رسیدند.
نائب رئیس شورای اسلامی شهر اصفهان گفت: کارشناسان و مدیران شهری باید براساس علم، دانش و تجربه حرکت کنند تا به اهداف تعیین‌شده براساس آینده پژوهشی برسند و سلامت شهرها را تضمین کنند.,آینده پژوهی شهری به دور از سیاسی کاری انجام شود,نایب‌رئیس شورای شهر اصفهان: باید بر اساس علم و دانش حرکت کنیم / سلامت شهر باید تضمین شود / آینده‌پژوهی ضروری است.
موسسه خدمات سرمایه گذاری مودیز روز شنبه (۲۵ اردیبهشت‌ماه)، رتبه اعتباری چند کشور عمده تولید کننده نفت از جمله عربستان، بحرین و عمان را به دلیل سقوط قیمت نفت، کاهش داد.,مودیز رتبه اعتباری عربستان را کاهش داد,کاهش رتبه اقتصادی کشورهای تولیدکننده نفت به دلیل کاهش قیمت نفت / عربستان در رده پایین‌ترین رتبه قرار می‌گیرد
موسسه فاینانس بین‌المللی (آی‌آی اف) هشدار داد با توجه به افزایش هزینه‌کردهای دوات‌ها و شرکت‌ها برای عبور از بحران کرونا بدهی جهانی تا پایان امسال به ۲۷۷ تریلیون دلار خواهد رسید.,هشدار موسسه فاینانس بین‌المللی / جهان با سونامی بدهی روبرو است,بدهی جهانی در سال ۲۰۲۰ به ۲.۷۷ تريليون دلار می‌رسد / هشدار آی‌آی‌اف به کشورها درباره بحران اقتصادی کرونایی / کاهش تولید ناخالص داخلی جهان به ۳.۳ درصد پیش‌بینی می‌شود.
سیدعباس صالحی وزیر فرهنگ و ارشاد اسلامی به دیدار ایران درودی هنرمند نقاشی رفت.,وزیر ارشاد به دیدار ایران درودی رفت,سیدعباس صالحی وزیر فرهنگ و ارشاد اسلامی به...
وزیر علوم تحقیقات و فناوری گفت: بحث حذف کنکور باید با جایگزینی یک مدل جدید برای سنجش و پذیرش دانشجو در دانشگاه‌ها به ویژه رشته‌هایی که داوطلب علاقمند زیاد دارند، صورت گیرد.,حذف کنکور شرط دارد,جایگزین کنکور چه باید باشد؟ / وزیر علوم و تحقیقات پاسخ داد.
دادگاه عالی جنایی آنکارا امروز پنجشنبه ۲۹ نفر دیگر را به اتهام دست داشتن در کودتای نافرجام سال ۲۰۱۶ به حبس ابد محکوم کرد.,حبس ابد برای ۲۹ نفر دیگر به اتهام دست داشتن در کودتای نافرجام ترکیه,محاکمه ۲۹ تن دیگر در دادگاه کودتا به اتمام رسید / ۲۹ نفری به اعدام و ۳ نفر دیگر به ۸ سال حبس محاکوم شدند.
کارشناسان روس سرنوشت اسف‌باری برای روبل دیجیتالی این کشور پیش‌بینی می‌کنند زیرا به گفته آنها راه‌اندازی این ارز مجازی به معنای افزایش هزینه‌ها برای بانکها و مشکلات امنیتی برای مشتریان خواهد بود. روبل واحد پول روسیه است.,پیش‌بینی آینده غم‌انگیز برای روبل دیجیتالی در روسیه,روسیه روبل مجازی خود را با مشکل روبه‌رو می‌کند! / راه اندازی روبل دجیتال به ضرر روسیه خواهد بود! / روبل رو به سقوط می‌رود! / قیمت روبل در بازار جهانی رو به رکود می‌افتد! / روسیه روبل خود را از بازار جهانی حذف می‌کند؟! / کاهش ارزش روبل و افزایش نرخ تورم در روسیه! / نرخ دلار و یور
رئیس‌جمهور آذربایجان در اظهاراتی از آمادگی کشورش برای مذاکره با ارمنستان با هدف پایان دادن به بحران قره‌باغ خبر داد.,آمادگی آذربایجان برای مذاکره با ارمنستان درباره بحران قره‌باغ,آمادگی آذربایجانی‌ها برای پایان جنگ قره باغ / مذاکرات با ارمنی‌ها آغاز می‌شود؟
فدراسیون بین‌المللی فوتبال در نامه ارسالی خود، فدراسیون فوتبال ایران را به تعلیق تهدید کرده است.,فیفا فدراسیون فوتبال ایران را به تعلیق تهدید کرد,فدارسیون فوتبال ایران در معرض تعلیقی قرار می‌گیرد؟! / نامه تهدیدی از سوی فیفا به فدارسیون ایران! / فدارسیون فوتبال ایران چه باید بکند؟!؟!?!?!?!!?!?!?!??!?!?!!!?!?!???!!!?!!!???!!!???!!!!!!!???????!!!!!!!!!???????!!!!!?????!!!!!??????!!!!!!!!!???!!!!!!?????!!!!!!!!!??!!!!!!!??!!!!
مدیرعامل بنیاد فرهنگی البرز از موسسات وابسته به سازمان اوقاف و امور خیریه در پنجاه و هشتمین همایش ملی جایزه سال بنیاد البرز که با حضور نماینده ولی‌فقیه و رئیس سازمان اوقاف و امور خیریه و جمعی از مسئولان برگزار شد، از دانش‌آموزان برتر کشور با اهدا لوح، تندیس و جوایز نقدی قدردانی کرد.,پنجاه وهشتمین جایزه سال بنیاد البرز به دانش‌آموزان برتر کشور اهدا شد,اهدای لوح و جوایزی به برترین دانش آموزان کشور از سوی بنیاد فرهنگ البرز / تقدیر از ۵۰۰ دانش آموز برتر / ۱۰۰ میلیون ریال جایزه نقدی برای برترین‌ها / اهدای ۵۰ لوح تبریک و ۵۰ جایزه ۵ میلیون ریالی به دانش‌آموختگان برتر دانشگاه‌ها و مراکز آموزش عالی استان البرز در رشته‌های مختلف علوم پزشکی و غیرپزشکی / تقد
اگرچه زباله‌ها بخش جدانایی‌پذیری از زندگی روزمره انسان هستند اما بسیاری از کشورهای جهان راهکارهای جالبی برای بازیافت مواد زائد و هدر رفتن منابع سودمند در پیش گرفته‌اند.,کشورهای آسیایی پرچم‌داران بازیافت زباله در جهان,راه‌حل‌های جالب برای بازیابی مواد زاید در جهان / ایران هم می‌تواند از آنها بهره ببرد؟! / تصاویر / فیلم / خبرگزاری مهر | اخبار ایران و جهان | تسنیم | ایران | جهان | سیاسی | اجتماعی | اقتصادی | ورزشی | فرهنگی | هنری | علمی | فناوری | محیط‌زیست | فناوری اطلاعات | فناوری ارتباطات | پزشکی | نظامی | بین‌الملل | خبری | تازه‌ها | گزارش تصویری | گزارش صوتی
بدرالزمان قریب، به عنوان پژوهشگر فرهنگ و زبان‌های باستانی این مرز و بوم شناخته می‌شد که خدمات فرهنگی ارزنده بر قله افتخارات کشور افزوده است. او علاوه بر تحصیل علوم دینی، کتاب‌هایی را نیز درباره ادبیات فارسی و عربی و همچنین تاریخ ادبیات و خطاطی نوشته از خود برجای گذاشته است.,درباره بدرالزمان قریب,خدمات فرهنگی قریب در راه ماندگاری زبان و ادب فارسی / معرفی کتاب «تاریخ ادبیات» قریب به زبان انگلیسی و فرانسوی و آلمانی و ایتالیایی و اسپانیایی و پرتغالی و روسی و چینی و ژاپنی و کره‌ای و لهستانی و سوئدی و دانمارکی و نروژی و فنلاندی و اتریشی و مجارستانی و بلغاری و یونانی و رومانیایی /
داده‌ها نشان می‌دهد بی‌پی برای ذخیره‌سازی نفت، یک نفتکش را با کمترین قیمت امسال اجاره کرده است.,بی‌پی امسال با کمترین قیمت نفتکش اجاره کرد,بی‌پی کمترین هزینه را برای اجاره نفتکش پرداخت می‌کند / ۱۰۰ میلیون دلار صرفه‌جویی می‌کند.
شهردار بندر چابهار در جنوب سیستان‌وبلوچستان گفت: پروژه جاده کمربندی شمالی با مشارکت ۷۰ درصدی سازمان منطقه آزاد، ۳۰ درصدی شهرداری و سازمان راهداری و حمل‌ونقل جاده‌ای این شهرستان ساخته و تکمیل می‌شود.,جاده کمربندی شمالی چابهار تکمیل می‌شود,تکمیل جاده بندرچابهار تا پایان سال ۱۴۰۰ به اتمام می‌رسد / ۳۰۰ میلیارد تومان اعتبار اختصاص داده شده است.
رضا جعفرزاده، سخنگوی سازمان هواپیمایی از کاهش ۷۰ تا ۹۰ درصدی سفرهای هوایی مردم در روزهای گذشته درپی شیوع ویروس کرونا در کشور خبر داد.,کاهش ۷۰ تا ۹۰ درصدی سفرهای هوایی,کاهش شدید سفرهای مسافری هوایی در پی شیوع کروناویروس / کاهش ۸۰درصدی پروازهای داخلی و بین‌المللی / افزایش ۵۰۰درصتی باربری هوایی / ۱۰۰هزار نفر از مسافران هوایی به دلیل شیوع کووید-۱۹ بازنشانی شدند. / ۶هزار و ۸۰۰ نفر از کارکنان شرکت‌های هواپیمایی در این مدت از کار برکنار شده‌اند.
دونالد ترامپ بار دیگر شیوه انتخابات پستی و تلاش دموکرات‌ها برای استفاده از آن در انتخابات ریاست جمهوری سوم نوامبر را زیر سوال برد.,حمله ترامپ به دموکرات‌ها و انتخابات پستی,ترامپ به شیوه رای‌گیری پستی توهین کرد / دیموکرات‌ها به او پاسخ دادند / کنگره آمریکا به این موضوع رسیدگی می‌کند / ترمیم قانون انتخابات در دستور کار قرار گرفت / کاخ سفید به کنگرس آمریکا هشدار داد / ترامپی‌ها به دیموکراسی آمریکا تهدید می‌کنند / کاندیداهای دیمقراطی به کاخ‌سفید هشدار می‌دهند
سمنان-صالحیان، کارشناس اقتصادی بابیان اینکه سهم تسهیلات مسکن از اعتبارات تسهیلات استان سمنان بسیار ناچیز است، گفت: مردم با تسهیلات بانکی نمی‌توانند هرگز صاحب‌خانه شوند.,سهم ناچیز تسهیلات در بازار مسکن / وام مشکلی حل نمی‌کند,سهم مسکن در اعتبارت تسهيلات استان بسيار پايين است / مردم هرگز نمي‌توانند صاحب خانه شوند. / صالحیان. / اقتصاد. / خبرگزاری تسنیم. / تسنيم نیوز. / ایران. / خبری. / تازه‌ها. / سیاسی. / اجتماعی. / اقتصادی. / فرهنگی. / ورزشی. / حوادث. / بین الملل. / معیشت. / صنعت. / کشاورزی.
اعضای بنیاد ملی نخبگان می‌توانند تابستان امسال با ۹۰ درصد تخفیف از خدمات آزمایشگاهی بهره‌مند شوند.,نخبگان ۹۰ درصد تخفیف خدمات آزمایشگاهی می‌گیرند,تخفیف ۹० درصدی برای اعضا بنیاد نخبگانیان در تابستان ۹۹ / هزینه آزمایش‌های پزشکی کاهش می‌یابد.
رییس سازمان سنجش آموزش کشور اعلام کرد: ثبت‌نام برای پذیرش بدون آزمون کارشناسی ارشد ۹۹ به زودی آغاز می‌شود.,ثبت‌نام پذیرش بدون آزمون کارشناسی ارشد ۹۹ به زودی آغاز می‌شود,ثبت‌نام بدون آزمون کاردانی و کارشناسی ناپیوسته ۹۸ آغاز شد / آغاز ثبت نام بدون آزمون ارشد ۱۳۹۹ در آتیه اعلام می‌شود.
وزیر صنعت و انرژی قطر اعلام کرد که باور دارد تمدید توافق کاهش تولید اوپک تا سه ماه نخست سال ۲۰۱۸ میلادی مزیت‌هایی دارد.,تمدید توافق کاهش تولید مطلوبیت دارد,تمدید کاهش تولید نفت اوپکی مزیت دارد / وزیر صنعت قطر / قطر به کاهش تولید ادامه می‌دهد.
وزیر صنعت، معدن و تجارت با اشاره به روند رو به رشد صنایع تکمیلی و پایین دستی، گفت: اکنون ۱۲ هزار واحد تولیدی در صنایع تکمیلی پتروشیمی در حال فعالیت هستند.,۱۲ هزار واحد تولیدی در صنایع تکمیلی پتروشیمی فعالیت می‌کنند,تعداد واحدهای تولیدی صنایع پایین‌دست پالایشگاه‌ها به ۱۲هزار واحد رسید / ۳۰۰ میلیارد دلار سرمایه‌گذاری در این صنایع صورت گرفته است. / ۱۰۰ هزار نفر مشغول به کار هستند. / سالانه ۴ میلیارد متر مکعب گاز مصرف می‌شود. / تولید ۵ میلیون تن پلاستیک در سال ۹۹ انجام شد. / صادرات ۲ میلیون و ۸۰۰ هزار تنی پلا
رییس‌کل بانک مرکزی در پست اینستاگرامی با تشریح جزییات سفر به عراق، نوشت: در دیدار با نخست‌وزیر عراق، وی از حصول توافق ابراز خرسندی و استقبال کرده و دستورات لازم به بانک‌های مرکزی و تجارت عراق جهت تسریع در اجرای توافقات را صادر کرد.,گزارش مهم همتی از توافق با عراق برای آزاد کردن منابع ایران,دستورالعمل‌های لازم برای اجرای توافق‌های اقتصادی با عراق صادر شد / ۱۰۰ میلیارد دلار سرمایه‌گذاری ایران در عراق پیش‌بینی می‌شود.
صندوق نجات اقتصادی منطقهورو اعلام کرد که اتحادیه اروپا برای گذر از رکود پساکرونا به کمک موسسات اروپایی با مبلغ حداقل ۵۰۰ میلیارد یورو نیاز دارد.,نیاز ۵۰۰ میلیارد دلار برای نجات اقتصاد اروپا,اتحادیه اروپا به کمک ۵۵۰ میلیارد دلاری نیاز دارد / رکودی که در سال ۲۰۲۰ پیش‌بینی می‌شد، یک سال به تاخیر افتاده است.
مدیرعامل سازمان فاوا شهرداری مشهد از آغاز به کار آزمایشی سامانه جامع مدیریت نمایشگرهای شهری در اردیبهشت‌ماه جاری خبر داد.,آغاز به کار سامانه جامع مدیریت نمایشگرهای شهری مشهد,آغاز آزمایش سامانه مدیریت نشانگرهای شهر مشهد / ۱۰۰۰ نشانگر شهری در این سامانه ثبت نام کرده‌اند / ۵۰۰ نشانگر دیگر نیز در حال ثبت نام هستند. / ۶۰ درصد نشانگرها به صورت خودکار و ۴۰ درصد به صورت دستی ثبت نام می‌شوند. / نشانگرهایی که در سامانه به ثبت می‌رسند، ۲۴ ساعته تحت نظارت قرار می‌گیرند. / در صورت مشاهده هرگونه تخلف
رییس‌کل بانک مرکزی گفت: سامانه ارتباطات مردمی گامی مهم در گره‌گشایی از مشکلات مردم است و در رسیدگی سریع نسبت به مشکلات مردم موثر واقع خواهد شد.,سامانه ارتباطات مردمی، گامی مهم در گره‌گشایی از مشکلات مردم,گام مهم بانک مرکزی برای حل مشکلات مردم / سامانه جدید ارتباط با بانک مرکزی راه‌اندازی می‌شود / 24 ساعته پاسخگویی به سوالات مردم از طریق این سامانه امکان‌پذیر است.
وزیر راه و شهرسازی از شرکت در همایش بین‌المللی ظرفیت‌های ترانزیتی اوراسیا، ملاقات با مقامات و وزرای شرکت‌کننده در این همایش و همچنین پیگیری توسعه روابط کشورمان با جمهوری ارمنستان در حوزه حمل و نقل و ترانزیت به همراه رئیس‌جمهور خبر داد.,مشارکت وزیر راه در همایش ترانزیتی اوراسیا,حضور وزیر راه در همايش بين‌المللي ظرفيت‌هاي ترانزيتي اوراسياي 2019 / پيگيري توسعه روابط ايران با جمهوري ارمني در حوزه ترابري و ترازيت / گفتگو با رئيس جمهور ارمنستن در زمينه توسعه روابط دو کشور در حوزه اقتصادي و ترابری / ويژگي‌ها و قابليت‌هاي ترازيتي جاده اوراسيا / گسترش روابط اقتصادي ايران و ار
عظیمی، مدیر اجرایی و دبیر شورای هماهنگی طرح احیا، فعال‌سازی و توسعه معادن کوچک مقیاس گفت: این طرح، بسترساز ایجاد نهضت فرآوری، نوآوری و کارآفرینی در بخش معدن بوده است. رضا عظیمی در عین حال به تاثیرات این طرح در سه مقطع زمانی پرداخت.,طرح احیای معادن کوچک، بسترساز ایجاد نهضت نوآوری و کارآفرینی,تاثیرات طرح احیای معادن در ۳ مقطع مختلف زمان بررسی می‌شود / این طرح بستری برای نوآورانه شدن صنعت معدن فراهم کرده است.
اظهارات یک کارشناس صداوسیما درباره انتخابات آمریکا با واکنش محمد مهاجری روبرو شد.,انتقاد مهاجری از اظهارات عجیب کارشناس صداوسیما درباره انتخابات آمریکا: کاش می‌فهمیدید چه خدمتی به مخالفان شورای نگهبان می‌کنید,واکنش محمدرضا آیت‌اللهی به اظهارات کارشناس صدا و سیما در مورد انتخابات آمریکا / این حرف‌ها چه ارتباطی با ایران دارد؟
ایرنا و فلز زرد وارد کانال کمتر از یک هزار و ۸۰۰ دلاری شد.,قیمت طلا بازار هم ریخت,پایین شدن قیمت فلزات در بازار جهانی / واردات ایرنا به کانال ۱۱۸۰ دلاری رسید.
جبار علی اللعیبی، وزیر نفت عراق، عضو سازمان کشورهای صادر کننده نفت (اوپک)، شماری از مقام‌های بلندپایه وزارتخانه متبوع خود را به منظور تقویت توانایی افزایش تولید نفت عراق، تغییر داد.,جابجایی در سطح معاونان وزارت نفت عراق,تغییر مدیرعامل شرکت ملی نفت عراق در اوپک
بیش از ۱۵۶ هزار خانوار در طرح ثبت‌نام کالابرگ نفت سفید الکترونیک در استان سیستان و بلوچستان ثبت‌نام کردند.,ثبت‌نام بیش از ۱۵۶ هزار خانوار سیستان و بلوچستانی در سامانه کالابرگ نفت سفید,ثبت‌نام بیش از یکصد و شصت و شش هزار نفر از خانوارهای نیازمند در طرح کالا‌برگ نفتی در سیستان‌وبلوچستان به اتمام رسید.
دادفر، دبیر انجمن واردکنندگان خودرو و رئیس انجمن همگن قطعه‌سازی در خصوص دپو شدن خودروها در پارکینگ و بالارفتن قیمت‌ها بحث و گفتگو کردند.,دپوی بالای ۱۰۰ هزار خودرو در پارکینگ‌ها,دپوی خودروهای وارداتی و افزایش قیمت‌ها؛ چرا؟ / دادفر: قیمت‌ها افزایش می‌یابد / دپوی ۳۰۰ هزار خودرو در کشور وجود دارد؟ / افزایش قیمت‌های قطعات ۱۰۰ درصدی است؟ / قیمت‌ها به دلیل افزایش نرخ ارز افزایش یافته است. / افزایش ۵۰ درصتی در قیمت قطعات در سال ۹۸ اتفاق افتاد. / قیمت قطعه‌های وارداتی ۵۰ درصد افزایش یافت. /
سرپرست سازمان آتش‌نشانی و خدمات ایمنی شهرداری رشت گفت: آتش‌نشانان و تیم‌های امداد نجات این سازمان در ۲۴ ساعت گذشته به ۱۲ عملیات اطفای حریق، حادثه و خدمات ایمنی اعزام شدند.,انجام ۱۲ عملیات در ۲۴ ساعت گذشته توسط آتش نشانان رشتی,اعزام ۱۲ تیم امداد و نجات به ۲۴ عملیات در رشت / ۲ نفر جان خود را از دست دادند / ۳ مورد آتش‌سوزی در اماکن مسکونی رخ داد / ۱ مورد آتش سوزی در انبار مواد خطرناک / ۴ مورد حریق در خودروها و وسایل نقلیه / ۵ مورد حوادث و تصادفات جاده‌ای / ۶ مورد خدمات امدادی و ایمنی / ۷ مورد
بندرعباس-رنجبر، رئیس اتحادیه صنف مشاورین املاک بندرعباس گفت: تعطیلی دو هفته‌ای دفاتر مشاور املاک نه‌تنها کمکی به پیشگیری بیماری کرونا نمی‌کند بلکه موجب سردرگمی مردم و احجاف در حق مستاجران خواهد شد.,تعطیلی دفاتر مشاور املاک اجحاف در حق مستاجران است,تعطیلی دفتر مشاوران نه تنها به کرونای جلوگیری نمی‌کند، بلکه به ضرر مردم است» / رنجبر » / ۱۳۹۹/۰۵/۰۱ ۰۹:۴۵
وزیر نفت و منابع طبیعی هند اعلام کرد که شرکت نفتی چنای پترولیوم (CPCL) که بخشی از سهامش در اختیار ایران است باید با شرکت نفت هند که شرکت مادرش محسوب می‌شود ادغام شود.,تصمیم وزارت نفت هند درباره سهام ایران در یک شرکت هندی,ادغام شرکت‌های نفتی ایران و هند در دستور کار قرار می‌گیرد / ایران ۵ درصد سهام CPCL را در اختیار دارد.
